,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,31.792092446394403,40.395976742663784,31.879354375970223,31.879356133225997,31.792092283893847,31.792324762073736
1,29.92152492032187,93.70596110241966,30.309629439504032,30.3095444500361,29.921525412654315,29.91866989984465
2,36.374957373631894,122.06213540891655,36.32624121660264,36.326242259823225,36.37522621779856,36.3749655877657
3,27.205580849727056,41.19160415297124,27.422231646847386,27.422229990804972,27.205581208487118,27.20536736592681
4,28.878318286805584,32.14596536259788,29.426093108432344,29.42608814166122,28.87831860394576,28.877828378530598
5,30.670160434854342,33.405365996200075,30.55474564229573,30.554727546429152,30.669792458392685,30.6723252450986
6,29.087640933479094,32.89542921938104,29.35924793626176,29.359246091223117,29.087640952491387,29.090307671192896
7,29.86850911337803,47.44413415084146,30.16986028496417,30.16986147485841,29.868509084370338,29.869932611179287
8,27.80814164954887,30.17471524846071,27.55457504557174,27.554571636646855,27.808152575456397,27.80770070617627
9,31.836463708599965,45.55318963450962,32.249144940872114,32.24911327031352,31.83645414455098,31.837269755496628
