,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,22.30074882423212,533.8480113543538,196316.9986234072,40.74490885059201,40.99817189016611,22.300748493531326,22.300748493531326
1,18.697603975683254,471.8366767297023,36.3965493076677,39.15389927729565,39.227928146089745,18.697603978549502,18.697603978549502
2,17.622592774844986,419.37684588169014,52678.472688814276,47.187593355311776,47.32257926426471,17.622592874199704,17.622592874199704
3,16.11738908070148,357.9863741600484,34.77013872291993,25.788897991476798,26.065442864344263,16.11738907171783,16.11738907171783
4,30.73132811508925,459.25244235574684,54996.68629503766,30.070772893410062,30.30000993720865,30.731328179528468,30.731328179528468
5,19.965020966912267,530.6841778050464,435695.18382660067,28.95716781087047,29.129569204267927,19.96502094858019,19.96502094858019
6,14.045959161081383,374.6502238274922,86025.64683959482,45.61719150400379,45.45147564729782,14.045959170638046,14.045959170638046
7,17.96311028673723,376.43141736418744,18123.1862034032,32.64346951209863,32.49028518049197,17.963110290892256,17.963110290892256
8,22.93269745014984,282.97941780198335,22.610133083084143,44.71932302035837,44.84217164965463,22.93269750413922,22.93269750413922
9,21.622612017987226,479.2950834640485,34.5231646373868,49.682485342485776,49.655000768733714,21.622612031436837,21.622612031436837
